ISOAlpha2;CommodityName;UnitFactor;Concentration;ConcComment;UsedFactor;UsedComment
AE;Cadmium;0;NULL;NULL;0.001;0
AE;Chromium;0.001;0.373;NULL;0.001;"Global metal contents "
AE;Cobalt;0;NULL;NULL;0.001;0
AE;Germanium;0;NULL;NULL;0.001;0
AE;Strontium;0;NULL;NULL;0.001;0
AE;"Strontium minerals";0;NULL;NULL;0.001;0
AE;"Sulphur as a by-product of natural gas etc.";0.001;1;NULL;0.001;0
AE;"Gypsum and anhydrite";1;1;NULL;1;0
ZW;"Construction Minerals nec";0.001;1;NULL;0.001;0
AF;"Iron ores";0;NULL;NULL;0.001;0
AF;Antimony;0;NULL;NULL;0.02;"World average content"
AF;Beryllium;0;NULL;NULL;0.001;"By-product of other ores"
AF;Feldspar;0;NULL;NULL;0.001;0
AF;Arsenic;0;NULL;NULL;0.001;0
AF;"Bauxite (Aluminium)";0;NULL;NULL;0.001;0
AF;Bismuth;0;NULL;NULL;0.001;"By-product of other ores"
AF;Cadmium;0;NULL;NULL;0.001;"By-product of other ores"
AF;Chromium;0.001;0.406545455;NULL;0.001;"regional average"
AF;Cobalt;0;NULL;NULL;0.001;"By-product of other ores"
AF;Copper;1;0.0052;NULL;192.3076923;"based on Asian (Regional?)metal contents in crude Cu ores "
AF;Germanium;0;NULL;NULL;0.001;"By-product of other ores"
AF;Gold;0;NULL;NULL;1e-06;0
AF;Lead;0;NULL;NULL;0.001;"By-product of zinc extraction"
AF;Lithium;0;NULL;NULL;0.001;"BGS reports lithium minerals as amblygonite, lepidolite, petalite, and spodumene"
AF;Magnesium;0;NULL;NULL;0.001;0
AF;Manganeese;0;NULL;NULL;0.001;0
AF;Mercury;0;NULL;NULL;1e-06;"By-product of other ores"
AF;Molybdenum;0;NULL;NULL;0.001;"By-product of other ores"
AF;Nickel;0;NULL;NULL;0.001;"By-product of other ores"
AF;"Niobium + Tantalum";0;NULL;NULL;0.001;"By-product of other ores"
AF;"Platinum-group (PGM)";0;NULL;NULL;1e-06;"By-products of other ores (Copper and Nickel)"
AF;"Rare Earths Metals";0;NULL;NULL;0.001;"contained in monazite, bastnaesite, xenotime, etc"
AF;Selenium;0;NULL;NULL;0.001;"By-product of other ores"
AF;Silver;0;NULL;NULL;1e-06;"By-products of other ores"
AF;Strontium;0;NULL;NULL;0.001;0
AF;Tellurium;0;NULL;NULL;0.001;0
AF;Tin;0;NULL;NULL;0.001;0
AF;"Titanium (incl/ Ilmenite and Rutile)";0;NULL;NULL;0.001;"By-product of other ores"
AF;Tungsten;0;NULL;NULL;0.227272727272727;0
AF;Uranium;0;NULL;NULL;0.001;0
AF;Vanadium;0;NULL;NULL;0.001;"By-product of other ores"
AF;Zinc;0;NULL;NULL;0.0065;"World average grade"
AF;"Zirconium and Hafnium";0;NULL;NULL;0.001;"By-product of other ores"
AF;"Ball clay";0;NULL;NULL;0.001;0
AF;"Bentonite, sepiolite and attapulgite";0;NULL;NULL;0.001;0
AF;"Fire, refactory and flint clay, Andalusite, kyanite and sillimanite (all Al-containing)";0;NULL;NULL;0.001;0
AF;"Fuller's earth";0;NULL;NULL;0.001;0
AF;Kaolin;0;NULL;NULL;0.001;0
AF;"Potter clay";0;NULL;NULL;0.001;0
AF;"Special clay";0;NULL;NULL;0.001;0
AF;"Slate clay";0;NULL;NULL;0.001;0
AF;"Industrial sand";0;NULL;NULL;0.001;0
AF;"Sillica sand (quartzsand)";0;NULL;NULL;0.001;0
AF;"Siliceous earth";0;NULL;NULL;0.001;0
AF;Calcite;0;NULL;NULL;0.001;0
AF;Chalk;0;NULL;NULL;0.001;0
AF;"Chert and flint";0;NULL;NULL;0.001;0
AF;Dolomite;0;NULL;NULL;0.001;0
AF;"Igneous rock (basalt, basaltic lava, diabase, granite, porphyry, etc.)";0;NULL;NULL;0.001;0
AF;Limestone;0;NULL;NULL;0.001;0
AF;Sandstone;0;NULL;NULL;0.001;0
AF;"Slate including fill (incl. roof slate)";0;NULL;NULL;0.001;0
AF;"Crushed stone";0;NULL;NULL;0.001;0
AF;"Peat for agricultural use";0;NULL;NULL;0.001;0
AF;"Abrasives, natural (puzzolan, pumice, volcanic cinder etc.)";0;NULL;NULL;0.001;0
AF;Amber;0;NULL;NULL;0.001;0
AF;Barite;0.001;1;NULL;0.001;0
AF;"Borate minerals";0;NULL;NULL;0.001;0
AF;Diatomite;0;NULL;NULL;0.001;0
AF;Fluorspar;0;NULL;NULL;0.001;"intead of forming sand"
AF;"Graphite, natural";0;NULL;NULL;0.001;0
AF;"Iron ore for pigments";0;NULL;NULL;0.001;0
AF;Magnesite;0;NULL;NULL;0.001;0
AF;Mica;0;NULL;NULL;0.001;0
AF;"Ochre and pigment earths";0;NULL;NULL;0.001;0
AF;"Pegmatite sand";0;NULL;NULL;0.001;0
AF;"Phosphate rock (natural phosphates)";0;NULL;NULL;0.001;P2O5
AF;Potash;0;NULL;NULL;0.001;"K2O; BGS reports for some countries K2O content in 'potassic salts', 'nitrate', or 'chloride'"
AF;"Qartz and quartzite";0;NULL;NULL;0.001;0
AF;"Strontium minerals";0;NULL;NULL;0.001;0
AF;Sulphur;0;NULL;NULL;0.001;"elem. And ind. Sulfur"
AF;"Sulphur from pyrites";0;NULL;NULL;0.001;0
AF;"Sulphur as a by-product of natural gas etc.";0;NULL;NULL;0.001;0
AF;"Talc (steatite, soapstone, pyrophyllite)";0;NULL;NULL;0.001;0
AF;"Talcous slate";0;NULL;NULL;0.001;0
AF;Asbestos;0;NULL;NULL;0.001;"fibre; BGS reports sometimes chrysotile and Amphibole"
AF;Gluesand;0;NULL;NULL;0.001;0
AF;"Gypsum and anhydrite";0.001;1;NULL;0.001;0
AF;Perlite;0;NULL;NULL;0.001;0
AF;Loam;0;NULL;NULL;0.001;0
AF;Lavasand;0;NULL;NULL;0.001;0
AF;"Sand and gravel";0;NULL;NULL;0.001;0
ZM;"Construction Minerals nec";0.001;1;NULL;0.001;0
AG;Feldspar;0;NULL;NULL;0.001;0
AG;Cadmium;0;NULL;NULL;0.001;0
AG;Cobalt;0;NULL;NULL;0.001;0
AG;Germanium;0;NULL;NULL;0.001;0
AG;Strontium;0;NULL;NULL;0.001;0
AG;"Ball clay";0;NULL;NULL;0.001;0
AG;"Bentonite, sepiolite and attapulgite";0;NULL;NULL;0.001;0
AG;"Fire, refactory and flint clay, Andalusite, kyanite and sillimanite (all Al-containing)";0;NULL;NULL;0.001;0
AG;"Fuller's earth";0;NULL;NULL;0.001;0
AG;Kaolin;0;NULL;NULL;0.001;0
AG;"Potter clay";0;NULL;NULL;0.001;0
AG;"Special clay";0;NULL;NULL;0.001;0
AG;"Slate clay";0;NULL;NULL;0.001;0
AG;"Industrial sand";0;NULL;NULL;0.001;0
AG;"Sillica sand (quartzsand)";0;NULL;NULL;0.001;0
AG;"Siliceous earth";0;NULL;NULL;0.001;0
AG;Calcite;0;NULL;NULL;0.001;0
AG;Chalk;0;NULL;NULL;0.001;0
AG;"Chert and flint";0;NULL;NULL;0.001;0
